replicate_id,station_id,Depth,Distance_shore,TrueCommunity,Sp_1,Sp_2,Sp_10,Sp_12,Sp_13,Sp_27,Sp_28,Sp_4,Sp_9,Sp_11,Sp_26,Sp_29,Sp_5,Sp_3,Sp_16,Sp_17,Sp_30,Sp_32,Sp_33,Sp_14,Sp_31,Sp_15,Sp_7,Sp_6,Sp_8,Sp_18,Sp_19,Sp_20,Sp_21,Sp_23,Sp_24,Sp_25,Sp_22
STN_004_B2,STN_004,83.58,201.13,1,1870,1106,979,285,789,41,328,0,1573,690,19,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_004_B3,STN_004,83.58,201.13,1,2692,1627,1173,650,77,349,12,0,1089,911,530,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_005_B1,STN_005,80.93,202.36,1,557,4099,231,0,1084,1042,1207,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_005_B2,STN_005,80.93,202.36,1,1539,5376,1174,0,940,598,422,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_005_B3,STN_005,80.93,202.36,1,851,6630,2103,0,122,321,499,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_006_B1,STN_006,15.94,204.54,2,0,0,0,0,0,0,0,1144,488,0,0,0,0,925,1243,3360,1128,158,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_006_B2,STN_006,15.94,204.54,2,0,0,0,0,0,0,0,789,1303,0,0,0,0,0,924,2249,2278,537,248,616,221,0,0,0,0,0,0,0,0,0,0,0,0
STN_006_B3,STN_006,15.94,204.54,2,0,0,0,0,0,0,0,301,134,0,0,0,0,345,358,2167,1331,551,412,490,0,0,0,0,0,0,0,0,0,0,0,0,0
STN_007_B1,STN_007,11.24,191.84,2,0,0,0,0,0,0,0,216,0,0,0,0,0,606,1843,2497,304,563,297,0,3217,1085,0,0,0,0,0,0,0,0,0,0,0
STN_007_B2,STN_007,11.24,191.84,2,0,0,0,0,0,0,0,622,0,0,0,0,0,785,1089,964,2096,1631,439,0,3269,5,0,0,0,0,0,0,0,0,0,0,0
STN_007_B3,STN_007,11.24,191.84,2,0,0,0,0,0,0,0,208,0,0,0,0,0,986,1301,2306,778,1928,0,0,2111,1329,542,0,0,0,0,0,0,0,0,0,0
STN_008_B1,STN_008,7.76,195.42,2,0,0,0,0,0,0,0,2366,0,0,0,0,1126,1505,69,0,159,0,442,0,1059,2019,0,0,0,0,0,0,0,0,0,0,0
STN_008_B2,STN_008,7.76,195.42,2,0,506,0,0,0,0,0,4282,0,0,0,0,20,1294,1927,0,391,0,0,0,1136,1603,0,0,0,0,0,0,0,0,0,0,0
STN_008_B3,STN_008,7.76,195.42,2,0,0,0,0,0,0,0,3051,0,0,0,0,1833,1123,5,0,1270,0,0,772,1405,2912,0,0,0,0,0,0,0,0,0,0,0
STN_009_B1,STN_009,9.29,195.55,2,932,76,0,0,0,0,0,2712,0,0,0,0,1119,1926,154,913,72,799,487,375,1793,1085,253,0,0,0,0,0,0,0,0,0,0
STN_009_B2,STN_009,9.29,195.55,2,215,137,0,0,0,0,0,1781,0,0,0,0,0,218,25,524,1164,1304,502,891,1162,430,365,0,0,0,0,0,0,0,0,0,0
STN_009_B3,STN_009,9.29,195.55,2,401,466,0,0,0,0,0,799,0,0,0,0,580,140,361,297,484,151,140,735,351,894,266,0,0,0,0,0,0,0,0,0,0
STN_010_B1,STN_010,5.25,195.6,2,508,0,0,0,0,0,0,2183,638,0,0,0,0,2724,1305,864,532,111,14,644,102,115,534,0,0,0,0,0,0,0,0,0,0
STN_010_B2,STN_010,5.25,195.6,2,628,0,0,0,0,0,0,1871,767,0,0,0,0,2033,1216,822,290,26,640,597,222,362,103,0,0,0,0,0,0,0,0,0,0
STN_010_B3,STN_010,5.25,195.6,2,328,0,0,0,0,0,0,1679,858,0,0,0,0,844,2819,69,59,79,3294,21,758,559,266,0,0,0,0,0,0,0,0,0,0
STN_011_B1,STN_011,74.09,24.2,3,0,824,0,0,0,1406,1170,0,0,0,411,628,889,400,0,0,0,0,0,0,0,0,209,1172,359,29,522,733,1296,0,0,0,0
STN_011_B2,STN_011,74.09,24.2,3,0,470,0,0,0,659,1494,0,0,0,281,290,897,182,0,0,0,0,0,0,0,0,595,2457,847,373,972,484,1360,0,0,0,0
STN_011_B3,STN_011,74.09,24.2,3,0,162,0,0,0,581,2291,0,0,0,58,328,214,1138,0,0,0,0,0,0,0,0,84,1477,123,603,903,391,3183,0,0,0,0
STN_012_B1,STN_012,75.92,17.43,3,163,238,0,0,0,538,668,0,0,0,1435,51,3559,0,0,0,0,0,0,0,0,0,346,1953,0,2407,829,8,161,0,0,0,0
STN_012_B2,STN_012,75.92,17.43,3,669,115,0,0,0,0,125,0,0,0,642,106,3294,0,0,0,0,0,0,0,0,0,1668,1727,0,270,1762,705,615,0,0,0,0
STN_012_B3,STN_012,75.92,17.43,3,848,804,0,0,0,68,586,0,0,0,711,1064,3284,0,0,0,0,0,0,0,0,0,622,2333,0,169,1704,482,360,0,0,0,0
STN_013_B1,STN_013,86.18,19.75,3,0,0,0,0,0,0,0,0,0,0,347,6,868,0,0,0,0,0,0,0,0,0,1,1497,0,446,159,662,4026,0,0,0,0
STN_013_B2,STN_013,86.18,19.75,3,0,0,0,0,0,0,0,0,0,0,1439,212,1104,0,0,0,0,0,0,0,0,0,72,1443,0,350,855,477,5254,0,0,0,0
STN_013_B3,STN_013,86.18,19.75,3,0,0,0,0,0,0,0,0,0,0,423,72,299,0,0,0,0,0,0,0,0,0,234,408,0,506,815,256,4950,0,0,0,0
STN_014_B1,STN_014,79.51,24.91,3,0,0,0,0,0,591,3,0,0,0,1127,0,858,0,0,0,0,0,0,0,0,0,1007,4642,0,2345,1322,285,260,0,0,0,0
STN_014_B2,STN_014,79.51,24.91,3,0,0,0,0,0,0,436,0,0,0,758,359,388,0,0,0,0,0,0,0,0,0,670,3899,0,2644,263,550,956,0,0,0,0
STN_014_B3,STN_014,79.51,24.91,3,0,0,0,0,0,0,124,0,0,0,1025,0,227,0,0,0,0,0,0,0,0,0,680,5593,0,3504,164,397,1104,0,0,0,0
STN_015_B1,STN_015,83.77,20.46,3,0,0,0,0,0,3154,0,0,0,0,24,0,1303,0,0,0,0,0,0,0,0,0,235,1916,0,0,2048,683,441,0,0,0,0
STN_015_B2,STN_015,83.77,20.46,3,0,0,0,0,0,1716,1004,0,0,0,481,274,2114,0,0,0,0,0,0,0,0,0,729,655,0,0,831,0,1138,0,0,0,0
STN_015_B3,STN_015,83.77,20.46,3,0,0,0,0,0,2921,175,0,0,0,236,0,918,0,0,0,0,0,0,0,0,0,872,2567,0,0,776,390,190,0,0,0,0
STN_016_B1,STN_016,13.94,14.74,4,0,620,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,266,56,514,0,314,0,818,0,2717,0,0,0,0,641,810,24,0
STN_016_B2,STN_016,13.94,14.74,4,0,18,0,0,0,0,0,0,543,0,0,0,0,0,0,0,1013,341,1111,0,490,0,680,0,3275,0,0,0,0,1137,311,327,0
STN_016_B3,STN_016,13.94,14.74,4,0,396,0,0,0,0,0,0,87,0,0,0,0,0,0,0,103,204,1135,0,278,0,765,0,1632,0,0,0,0,262,252,815,0
STN_017_B1,STN_017,6.14,13.49,4,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,620,1572,4697,0,0,0,2239,0,535,0,0,0,0,257,0,416,111
STN_017_B2,STN_017,6.14,13.49,4,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,9,350,4095,0,0,0,1333,0,1596,0,0,0,0,763,0,1003,781
STN_017_B3,STN_017,6.14,13.49,4,0,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,234,1004,5247,0,0,0,1055,0,611,0,0,0,0,425,0,414,471
STN_018_B1,STN_018,8.04,23.17,4,0,0,0,0,0,0,0,0,1356,0,0,0,0,0,0,0,1037,2061,0,0,0,0,753,0,4452,0,0,0,0,750,2266,235,0
STN_018_B2,STN_018,8.04,23.17,4,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,0,327,1512,0,0,0,0,1418,0,3065,0,0,0,0,528,31,736,0
STN_018_B3,STN_018,8.04,23.17,4,0,0,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,982,1068,0,0,0,0,2000,0,1679,0,0,0,0,38,861,157,0
STN_019_B1,STN_019,6.56,11.76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,0,2682,0,0,0,1437,0,3446,0,0,0,0,0,0,672,0
STN_019_B2,STN_019,6.56,11.76,4,0,0,0,0,0,0,0,0,826,0,0,0,0,0,0,0,1547,0,1756,0,0,0,351,0,2473,0,0,0,0,0,0,935,0
STN_019_B3,STN_019,6.56,11.76,4,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,1401,796,3582,0,0,0,1486,0,2356,0,0,0,0,0,0,0,0
STN_020_B1,STN_020,13.08,16.71,4,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,794,50,0,3623,0,1272,0,0,0,0,0,0,571,1206,312,610
STN_020_B2,STN_020,13.08,16.71,4,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,201,459,0,3114,0,590,0,0,0,0,0,0,667,1313,223,924
STN_020_B3,STN_020,13.08,16.71,4,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,884,115,0,3408,0,404,0,0,0,0,0,0,131,1040,22,1179
